FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATE_CONVERT	DATA_CODING	Path	Category	Field	ValueType
23406							Biological samples > Blood assays > NMR metabolomics	220	HDL Cholesterol	Continuous
23407							Biological samples > Blood assays > NMR metabolomics	220	Total Triglycerides	Continuous
23408							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in VLDL	Continuous
23409							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in LDL	Continuous
23410							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in HDL	Continuous
23411							Biological samples > Blood assays > NMR metabolomics	220	Total Phospholipids in Lipoprotein Particles	Continuous
23412							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in VLDL	Continuous
23413							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in LDL	Continuous
23414							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in HDL	Continuous
23415							Biological samples > Blood assays > NMR metabolomics	220	Total Esterified Cholesterol	Continuous
23416							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in VLDL	Continuous
23417							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in LDL	Continuous
23418							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in HDL	Continuous
23419							Biological samples > Blood assays > NMR metabolomics	220	Total Free Cholesterol	Continuous
23420							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in VLDL	Continuous
23421							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in LDL	Continuous
23422							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in HDL	Continuous
23423							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Lipoprotein Particles	Continuous
23424							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in VLDL	Continuous
23425							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in LDL	Continuous
23426							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in HDL	Continuous
23427							Biological samples > Blood assays > NMR metabolomics	220	Total Concentration of Lipoprotein Particles	Continuous
23428							Biological samples > Blood assays > NMR metabolomics	220	Concentration of VLDL Particles	Continuous
23429							Biological samples > Blood assays > NMR metabolomics	220	Concentration of LDL Particles	Continuous
23430							Biological samples > Blood assays > NMR metabolomics	220	Concentration of HDL Particles	Continuous
23431							Biological samples > Blood assays > NMR metabolomics	220	Average Diameter for VLDL Particles	Continuous
23432							Biological samples > Blood assays > NMR metabolomics	220	Average Diameter for LDL Particles	Continuous
23433							Biological samples > Blood assays > NMR metabolomics	220	Average Diameter for HDL Particles	Continuous
23434							Biological samples > Blood assays > NMR metabolomics	220	Phosphoglycerides	Continuous
23435							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Phosphoglycerides ratio	Continuous
23436							Biological samples > Blood assays > NMR metabolomics	220	Total Cholines	Continuous
23437							Biological samples > Blood assays > NMR metabolomics	220	Phosphatidylcholines	Continuous
23438							Biological samples > Blood assays > NMR metabolomics	220	Sphingomyelins	Continuous
23439							Biological samples > Blood assays > NMR metabolomics	220	Apolipoprotein B	Continuous
23440							Biological samples > Blood assays > NMR metabolomics	220	Apolipoprotein A1	Continuous
23441							Biological samples > Blood assays > NMR metabolomics	220	Apolipoprotein B to Apolipoprotein A1 ratio	Continuous
23442							Biological samples > Blood assays > NMR metabolomics	220	Total Fatty Acids	Continuous
23443							Biological samples > Blood assays > NMR metabolomics	220	Degree of Unsaturation	Continuous
23444							Biological samples > Blood assays > NMR metabolomics	220	Omega-3 Fatty Acids	Continuous
23445							Biological samples > Blood assays > NMR metabolomics	220	Omega-6 Fatty Acids	Continuous
23446							Biological samples > Blood assays > NMR metabolomics	220	Polyunsaturated Fatty Acids	Continuous
23447							Biological samples > Blood assays > NMR metabolomics	220	Monounsaturated Fatty Acids	Continuous
23448							Biological samples > Blood assays > NMR metabolomics	220	Saturated Fatty Acids	Continuous
23449							Biological samples > Blood assays > NMR metabolomics	220	Linoleic Acid	Continuous
23450							Biological samples > Blood assays > NMR metabolomics	220	Docosahexaenoic Acid	Continuous
23451							Biological samples > Blood assays > NMR metabolomics	220	Omega-3 Fatty Acids to Total Fatty Acids percentage	Continuous
23452							Biological samples > Blood assays > NMR metabolomics	220	Omega-6 Fatty Acids to Total Fatty Acids percentage	Continuous
23453							Biological samples > Blood assays > NMR metabolomics	220	Polyunsaturated Fatty Acids to Total Fatty Acids percentage	Continuous
23454							Biological samples > Blood assays > NMR metabolomics	220	Monounsaturated Fatty Acids to Total Fatty Acids percentage	Continuous
23455							Biological samples > Blood assays > NMR metabolomics	220	Saturated Fatty Acids to Total Fatty Acids percentage	Continuous
23456							Biological samples > Blood assays > NMR metabolomics	220	Linoleic Acid to Total Fatty Acids percentage	Continuous
23457							Biological samples > Blood assays > NMR metabolomics	220	Docosahexaenoic Acid to Total Fatty Acids percentage	Continuous
23458							Biological samples > Blood assays > NMR metabolomics	220	Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio	Continuous
23459							Biological samples > Blood assays > NMR metabolomics	220	Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio	Continuous
23460							Biological samples > Blood assays > NMR metabolomics	220	Alanine	Continuous
23461							Biological samples > Blood assays > NMR metabolomics	220	Glutamine	Continuous
23462							Biological samples > Blood assays > NMR metabolomics	220	Glycine	Continuous
23463							Biological samples > Blood assays > NMR metabolomics	220	Histidine	Continuous
23464							Biological samples > Blood assays > NMR metabolomics	220	Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)	Continuous
23465							Biological samples > Blood assays > NMR metabolomics	220	Isoleucine	Continuous
23466							Biological samples > Blood assays > NMR metabolomics	220	Leucine	Continuous
23467							Biological samples > Blood assays > NMR metabolomics	220	Valine	Continuous
23468							Biological samples > Blood assays > NMR metabolomics	220	Phenylalanine	Continuous
23469							Biological samples > Blood assays > NMR metabolomics	220	Tyrosine	Continuous
23470							Biological samples > Blood assays > NMR metabolomics	220	Glucose	Continuous
23471							Biological samples > Blood assays > NMR metabolomics	220	Lactate	Continuous
23472							Biological samples > Blood assays > NMR metabolomics	220	Pyruvate	Continuous
23473							Biological samples > Blood assays > NMR metabolomics	220	Citrate	Continuous
23474							Biological samples > Blood assays > NMR metabolomics	220	3-Hydroxybutyrate	Continuous
23475							Biological samples > Blood assays > NMR metabolomics	220	Acetate	Continuous
23476							Biological samples > Blood assays > NMR metabolomics	220	Acetoacetate	Continuous
23477							Biological samples > Blood assays > NMR metabolomics	220	Acetone	Continuous
23478							Biological samples > Blood assays > NMR metabolomics	220	Creatinine	Continuous
23479							Biological samples > Blood assays > NMR metabolomics	220	Albumin	Continuous
23480							Biological samples > Blood assays > NMR metabolomics	220	Glycoprotein Acetyls	Continuous
23481							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Chylomicrons and Extremely Large VLDL Particles	Continuous
23482							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Chylomicrons and Extremely Large VLDL	Continuous
23483							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Chylomicrons and Extremely Large VLDL	Continuous
23484							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Chylomicrons and Extremely Large VLDL	Continuous
23485							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Chylomicrons and Extremely Large VLDL	Continuous
23486							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Chylomicrons and Extremely Large VLDL	Continuous
23487							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Chylomicrons and Extremely Large VLDL	Continuous
23488							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Very Large VLDL Particles	Continuous
23489							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Very Large VLDL	Continuous
23490							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Very Large VLDL	Continuous
23491							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Very Large VLDL	Continuous
23492							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Very Large VLDL	Continuous
23493							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Very Large VLDL	Continuous
23494							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Very Large VLDL	Continuous
23495							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Large VLDL Particles	Continuous
23496							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Large VLDL	Continuous
23497							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Large VLDL	Continuous
23498							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Large VLDL	Continuous
23499							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Large VLDL	Continuous
23500							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Large VLDL	Continuous
23501							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Large VLDL	Continuous
23502							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Medium VLDL Particles	Continuous
23503							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Medium VLDL	Continuous
23504							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Medium VLDL	Continuous
23505							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Medium VLDL	Continuous
23506							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Medium VLDL	Continuous
23507							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Medium VLDL	Continuous
23508							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Medium VLDL	Continuous
23509							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Small VLDL Particles	Continuous
23510							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Small VLDL	Continuous
23511							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Small VLDL	Continuous
23512							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Small VLDL	Continuous
23513							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Small VLDL	Continuous
23514							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Small VLDL	Continuous
23515							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Small VLDL	Continuous
23516							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Very Small VLDL Particles	Continuous
23517							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Very Small VLDL	Continuous
23518							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Very Small VLDL	Continuous
23519							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Very Small VLDL	Continuous
23520							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Very Small VLDL	Continuous
23521							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Very Small VLDL	Continuous
23522							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Very Small VLDL	Continuous
23523							Biological samples > Blood assays > NMR metabolomics	220	Concentration of IDL Particles	Continuous
23524							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in IDL	Continuous
23525							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in IDL	Continuous
23526							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in IDL	Continuous
23527							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in IDL	Continuous
23528							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in IDL	Continuous
23529							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in IDL	Continuous
23530							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Large LDL Particles	Continuous
23531							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Large LDL	Continuous
23532							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Large LDL	Continuous
23533							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Large LDL	Continuous
23534							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Large LDL	Continuous
23535							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Large LDL	Continuous
23536							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Large LDL	Continuous
23537							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Medium LDL Particles	Continuous
23538							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Medium LDL	Continuous
23539							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Medium LDL	Continuous
23540							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Medium LDL	Continuous
23541							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Medium LDL	Continuous
23542							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Medium LDL	Continuous
23543							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Medium LDL	Continuous
23544							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Small LDL Particles	Continuous
23545							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Small LDL	Continuous
23546							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Small LDL	Continuous
23547							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Small LDL	Continuous
23548							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Small LDL	Continuous
23549							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Small LDL	Continuous
23550							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Small LDL	Continuous
23551							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Very Large HDL Particles	Continuous
23552							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Very Large HDL	Continuous
23553							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Very Large HDL	Continuous
23554							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Very Large HDL	Continuous
23555							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Very Large HDL	Continuous
23556							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Very Large HDL	Continuous
23557							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Very Large HDL	Continuous
23558							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Large HDL Particles	Continuous
23559							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Large HDL	Continuous
23560							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Large HDL	Continuous
23561							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Large HDL	Continuous
23562							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Large HDL	Continuous
23563							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Large HDL	Continuous
23564							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Large HDL	Continuous
23565							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Medium HDL Particles	Continuous
23566							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Medium HDL	Continuous
23567							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Medium HDL	Continuous
23568							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Medium HDL	Continuous
23569							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Medium HDL	Continuous
23570							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Medium HDL	Continuous
23571							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Medium HDL	Continuous
23572							Biological samples > Blood assays > NMR metabolomics	220	Concentration of Small HDL Particles	Continuous
23573							Biological samples > Blood assays > NMR metabolomics	220	Total Lipids in Small HDL	Continuous
23574							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids in Small HDL	Continuous
23575							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol in Small HDL	Continuous
23576							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters in Small HDL	Continuous
23577							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol in Small HDL	Continuous
23578							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides in Small HDL	Continuous
23579							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Continuous
23580							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Continuous
23581							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Continuous
23582							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Continuous
23583							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Continuous
23584							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Very Large VLDL percentage	Continuous
23585							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Very Large VLDL percentage	Continuous
23586							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Very Large VLDL percentage	Continuous
23587							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Very Large VLDL percentage	Continuous
23588							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Very Large VLDL percentage	Continuous
23589							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Large VLDL percentage	Continuous
23590							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Large VLDL percentage	Continuous
23591							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Continuous
23592							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Large VLDL percentage	Continuous
23593							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Large VLDL percentage	Continuous
23594							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Medium VLDL percentage	Continuous
23595							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Medium VLDL percentage	Continuous
23596							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Medium VLDL percentage	Continuous
23597							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Medium VLDL percentage	Continuous
23598							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Medium VLDL percentage	Continuous
23599							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Small VLDL percentage	Continuous
23600							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Small VLDL percentage	Continuous
23601							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Small VLDL percentage	Continuous
23602							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Small VLDL percentage	Continuous
23603							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Small VLDL percentage	Continuous
23604							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Very Small VLDL percentage	Continuous
23605							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Very Small VLDL percentage	Continuous
23606							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Very Small VLDL percentage	Continuous
23607							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Very Small VLDL percentage	Continuous
23608							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Very Small VLDL percentage	Continuous
23609							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in IDL percentage	Continuous
23610							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in IDL percentage	Continuous
23611							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in IDL percentage	Continuous
23612							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in IDL percentage	Continuous
23613							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in IDL percentage	Continuous
23614							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Large LDL percentage	Continuous
23615							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Large LDL percentage	Continuous
23616							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Large LDL percentage	Continuous
23617							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Large LDL percentage	Continuous
23618							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Large LDL percentage	Continuous
23619							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Medium LDL percentage	Continuous
23620							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Medium LDL percentage	Continuous
23621							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Continuous
23622							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Medium LDL percentage	Continuous
23623							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Medium LDL percentage	Continuous
23624							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Small LDL percentage	Continuous
23625							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Small LDL percentage	Continuous
23626							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Small LDL percentage	Continuous
23627							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Small LDL percentage	Continuous
23628							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Small LDL percentage	Continuous
23629							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Very Large HDL percentage	Continuous
23630							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Very Large HDL percentage	Continuous
23631							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Very Large HDL percentage	Continuous
23632							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Very Large HDL percentage	Continuous
23633							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Very Large HDL percentage	Continuous
23634							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Large HDL percentage	Continuous
23635							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Large HDL percentage	Continuous
23636							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Large HDL percentage	Continuous
23637							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Large HDL percentage	Continuous
23638							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Large HDL percentage	Continuous
23639							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Medium HDL percentage	Continuous
23640							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Medium HDL percentage	Continuous
23641							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Continuous
23642							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Medium HDL percentage	Continuous
23643							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Medium HDL percentage	Continuous
23644							Biological samples > Blood assays > NMR metabolomics	220	Phospholipids to Total Lipids in Small HDL percentage	Continuous
23645							Biological samples > Blood assays > NMR metabolomics	220	Cholesterol to Total Lipids in Small HDL percentage	Continuous
23646							Biological samples > Blood assays > NMR metabolomics	220	Cholesteryl Esters to Total Lipids in Small HDL percentage	Continuous
23647							Biological samples > Blood assays > NMR metabolomics	220	Free Cholesterol to Total Lipids in Small HDL percentage	Continuous
23648							Biological samples > Blood assays > NMR metabolomics	220	Triglycerides to Total Lipids in Small HDL percentage	Continuous
23650		YES-PROCESSING				2301	Biological samples > Blood assays > NMR metabolomics > NMR metabolomics processing	222	Spectrometer	Categorical single
23652		YES-PROCESSING				1	Biological samples > Blood assays > NMR metabolomics > NMR metabolomics processing	222	High Lactate	Categorical single
23653		YES-PROCESSING				1	Biological samples > Blood assays > NMR metabolomics > NMR metabolomics processing	222	High Pyruvate	Categorical single
23654		YES-PROCESSING				1	Biological samples > Blood assays > NMR metabolomics > NMR metabolomics processing	222	Low Glucose	Categorical single
23655		YES-PROCESSING				1	Biological samples > Blood assays > NMR metabolomics > NMR metabolomics processing	222	Low Protein	Categorical single
23704		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Clinical LDL Cholesterol, QC Flag	Categorical single
23705		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	LDL Cholesterol, QC Flag	Categorical single
23717		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Cholesteryl Esters in LDL, QC Flag	Categorical single
23721		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Free Cholesterol in LDL, QC Flag	Categorical single
23734		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Phosphoglycerides, QC Flag	Categorical single
23735		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Triglycerides to Phosphoglycerides ratio, QC Flag	Categorical single
23736		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Total Cholines, QC Flag	Categorical single
23737		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Phosphatidylcholines, QC Flag	Categorical single
23738		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Sphingomyelins, QC Flag	Categorical single
23742		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Total Fatty Acids, QC Flag	Categorical single
23743		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Degree of Unsaturation, QC Flag	Categorical single
23744		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Omega-3 Fatty Acids, QC Flag	Categorical single
23745		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Omega-6 Fatty Acids, QC Flag	Categorical single
23746		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Polyunsaturated Fatty Acids, QC Flag	Categorical single
23747		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Monounsaturated Fatty Acids, QC Flag	Categorical single
23748		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Saturated Fatty Acids, QC Flag	Categorical single
23749		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Linoleic Acid, QC Flag	Categorical single
23750		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Docosahexaenoic Acid, QC Flag	Categorical single
23751		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Omega-3 Fatty Acids to Total Fatty Acids percentage, QC Flag	Categorical single
23752		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Omega-6 Fatty Acids to Total Fatty Acids percentage, QC Flag	Categorical single
23753		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Polyunsaturated Fatty Acids to Total Fatty Acids percentage, QC Flag	Categorical single
23754		YES-QC					Biological samples > Blood assays > NMR metabolomics > NMR metabolomics QC indicators	221	Monounsaturated Fatty Acids to Total Fatty Acids percentage, QC Flag	Categorical single
